Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Denver Nuggets*,82,19730,3951,7999,.494,24,126,.190,3927,7873,.499,2179,2696,.808,1214,2524,3738,2336,789,352,1496,2091,10105
2,Los Angeles Lakers*,82,19730,3964,7512,.528,10,96,.104,3954,7416,.533,1495,2031,.736,1235,2433,3668,2519,844,479,1584,1931,9433
3,San Antonio Spurs*,82,19780,3697,7340,.504,94,308,.305,3603,7032,.512,1887,2468,.765,1232,2599,3831,2261,675,469,1504,2095,9375
4,Kansas City Kings,82,19780,3719,7485,.497,51,215,.237,3668,7270,.505,1839,2530,.727,1256,2407,3663,2155,765,409,1691,2432,9328
5,Dallas Mavericks,82,19730,3674,7550,.487,43,185,.232,3631,7365,.493,1852,2462,.752,1296,2381,3677,2227,552,348,1348,2067,9243
6,Detroit Pistons,82,19880,3623,7602,.477,72,272,.265,3551,7330,.484,1921,2588,.742,1312,2477,3789,2108,679,572,1557,2122,9239
7,Boston Celtics*,82,19830,3711,7547,.492,39,186,.210,3672,7361,.499,1730,2348,.737,1273,2532,3805,2216,789,521,1541,2062,9191
8,Philadelphia 76ers*,82,19830,3600,7212,.499,25,109,.229,3575,7103,.503,1966,2650,.742,1334,2596,3930,2016,812,577,1627,2041,9191
9,Chicago Bulls,82,19905,3537,7373,.480,45,209,.215,3492,7164,.487,1983,2690,.737,1267,2527,3794,2086,666,400,1743,2192,9102
10,Seattle SuperSonics*,82,19805,3597,7277,.494,29,138,.210,3568,7139,.500,1796,2459,.730,1152,2569,3721,2278,677,437,1533,1969,9019
11,Utah Jazz,82,19755,3525,7342,.480,44,183,.240,3481,7159,.486,1844,2440,.756,1093,2550,3643,2176,758,595,1683,2017,8938
12,Indiana Pacers,82,19830,3707,7723,.480,50,236,.212,3657,7487,.488,1447,1910,.758,1299,2294,3593,2150,755,411,1535,2086,8911
13,Golden State Warriors,82,19780,3627,7508,.483,34,150,.227,3593,7358,.488,1620,2199,.737,1281,2284,3565,1964,856,430,1606,2138,8908
14,San Diego Clippers,82,19830,3625,7634,.475,64,262,.244,3561,7372,.483,1589,2195,.724,1394,2108,3502,2087,820,408,1600,2284,8903
15,Portland Trail Blazers*,82,19755,3459,7124,.486,35,150,.233,3424,6974,.491,1855,2512,.738,1180,2380,3560,2030,749,384,1495,1960,8808
16,Phoenix Suns*,82,19730,3555,7158,.497,40,158,.253,3515,7000,.502,1626,2189,.743,1094,2518,3612,2300,749,495,1545,2062,8776
17,Milwaukee Bucks*,82,19830,3486,7133,.489,37,169,.219,3449,6964,.495,1731,2299,.753,1095,2477,3572,2116,662,532,1447,2131,8740
18,New Jersey Nets*,82,19705,3510,7140,.492,30,149,.201,3480,6991,.498,1622,2301,.705,1266,2427,3693,2143,911,592,1873,2166,8672
19,Atlanta Hawks*,82,19780,3352,7146,.469,45,188,.239,3307,6958,.475,1586,2111,.751,1139,2433,3572,1945,573,665,1424,2022,8335
20,New York Knicks*,82,19805,3272,6793,.482,33,131,.252,3239,6662,.486,1621,2282,.710,1080,2263,3343,2034,701,378,1509,2180,8198
21,Houston Rockets,82,19730,3338,7446,.448,67,271,.247,3271,7175,.456,1402,1934,.725,1206,2260,3466,1931,646,422,1571,2131,8145
22,Washington Bullets,82,19805,3306,7059,.468,70,237,.295,3236,6822,.474,1452,2059,.705,1099,2430,3529,2046,733,400,1588,1958,8134
23,Cleveland Cavaliers,82,19755,3252,6995,.465,30,120,.250,3222,6875,.469,1430,1983,.721,1173,2414,3587,1738,617,290,1538,2236,7964
,League Average,82,19787,3569,7352,.485,44,185,.238,3525,7167,.492,1716,2319,.740,1216,2430,3646,2124,729,459,1567,2103,8898
