Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Boston Celtics*,72,,2745,6913,.397,,,,2745,6913,.397,2142,2785,.769,,,4583,1834,,,,1874,7632
2,Philadelphia Warriors*,72,,2641,6437,.410,,,,2641,6437,.410,2142,2829,.757,,,4362,1886,,,,1872,7424
3,New York Knicks*,72,,2508,6395,.392,,,,2508,6395,.392,2196,2913,.754,,,4562,1610,,,,1923,7212
4,Minneapolis Lakers*,72,,2541,6543,.388,,,,2541,6543,.388,2066,2627,.786,,,4133,1689,,,,1978,7148
5,Syracuse Nationals*,72,,2466,6661,.370,,,,2466,6661,.370,2044,2703,.756,,,4060,1710,,,,1783,6976
6,St. Louis Hawks*,72,,2506,6628,.378,,,,2506,6628,.378,1941,2761,.703,,,4493,1748,,,,1971,6953
7,Rochester Royals,72,,2551,6890,.370,,,,2551,6890,.370,1798,2567,.700,,,4449,1747,,,,1990,6900
8,Fort Wayne Pistons*,72,,2396,6174,.388,,,,2396,6174,.388,2002,2729,.734,,,3974,1752,,,,1789,6794
,League Average,72,,2544,6580,.387,,,,2544,6580,.387,2041,2739,.745,,,4327,1747,,,,1898,7130
