Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Philadelphia 76ers*,82,19780,3965,8414,.471,,,,3965,8414,.471,2121,3338,.635,,,5914,2197,,,,1851,10051
2,Los Angeles Lakers*,82,19855,3827,8031,.477,,,,3827,8031,.477,2283,3143,.726,,,5225,1983,,,,2152,9937
3,Seattle SuperSonics,82,19755,3772,8593,.439,,,,3772,8593,.439,2188,3042,.719,,,5338,1998,,,,2372,9732
4,Detroit Pistons*,82,19780,3755,8386,.448,,,,3755,8386,.448,2215,3129,.708,,,5452,1700,,,,2240,9725
5,Baltimore Bullets,82,19755,3691,8428,.438,,,,3691,8428,.438,2245,2994,.750,,,5431,1534,,,,2127,9627
6,San Francisco Warriors*,82,19805,3632,8587,.423,,,,3632,8587,.423,2334,3153,.740,,,6029,1901,,,,2265,9598
7,Cincinnati Royals,82,19805,3679,7864,.468,,,,3679,7864,.468,2204,2892,.762,,,5129,2048,,,,2016,9562
8,New York Knicks*,82,19880,3682,8070,.456,,,,3682,8070,.456,2159,3042,.710,,,5122,1967,,,,2364,9523
9,Boston Celtics*,82,19705,3686,8371,.440,,,,3686,8371,.440,2151,2983,.721,,,5666,1798,,,,2147,9523
10,St. Louis Hawks*,82,19880,3504,7765,.451,,,,3504,7765,.451,2258,3111,.726,,,5325,1988,,,,2046,9266
11,San Diego Rockets,82,19755,3566,8547,.417,,,,3566,8547,.417,2083,2929,.711,,,5418,1837,,,,2188,9215
12,Chicago Bulls*,82,19805,3488,8138,.429,,,,3488,8138,.429,2006,2718,.738,,,5117,1527,,,,2130,8982
,League Average,82,19797,3687,8266,.446,,,,3687,8266,.446,2187,3040,.720,,,5431,1873,,,,2158,9562
