Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Los Angeles Lakers*,82,19755,3920,7998,.490,,,,3920,7998,.490,2080,2833,.734,,,4628,2232,,,,1636,9920
2,Phoenix Suns,82,19880,3599,7877,.457,,,,3599,7877,.457,2336,2999,.779,,,4301,1976,,,,2026,9534
3,Boston Celtics*,82,19730,3819,8431,.453,,,,3819,8431,.453,1839,2367,.777,,,4462,2230,,,,2030,9477
4,Milwaukee Bucks*,82,19780,3813,7653,.498,,,,3813,7653,.498,1774,2399,.739,,,4269,2160,,,,1862,9400
5,Philadelphia 76ers,82,19780,3577,8057,.444,,,,3577,8057,.444,2049,2825,.725,,,4318,1920,,,,2203,9203
6,Chicago Bulls*,82,19780,3539,7853,.451,,,,3539,7853,.451,2039,2700,.755,,,4371,2087,,,,1964,9117
7,Houston Rockets,82,19730,3590,8277,.434,,,,3590,8277,.434,1813,2424,.748,,,4433,1777,,,,1992,8993
8,Atlanta Hawks*,82,19730,3482,7570,.460,,,,3482,7570,.460,2018,2725,.741,,,4080,1897,,,,1967,8982
9,Seattle SuperSonics,82,19755,3461,7457,.464,,,,3461,7457,.464,2035,2659,.765,,,4123,1976,,,,1738,8957
10,Detroit Pistons,82,19805,3482,7665,.454,,,,3482,7665,.454,1981,2653,.747,,,3970,1687,,,,1954,8945
11,Golden State Warriors*,82,19705,3477,7923,.439,,,,3477,7923,.439,1917,2500,.767,,,4450,1854,,,,1840,8871
12,Cincinnati Royals,82,19780,3444,7496,.459,,,,3444,7496,.459,1948,2578,.756,,,3754,2020,,,,2079,8836
13,New York Knicks*,82,19805,3521,7673,.459,,,,3521,7673,.459,1743,2303,.757,,,3909,1985,,,,1899,8785
14,Baltimore Bullets*,82,19780,3490,7748,.450,,,,3490,7748,.450,1804,2378,.759,,,4159,1816,,,,1858,8784
15,Portland Trail Blazers,82,19805,3462,7840,.442,,,,3462,7840,.442,1835,2494,.736,,,3996,2090,,,,1873,8759
16,Cleveland Cavaliers,82,19755,3458,8074,.428,,,,3458,8074,.428,1758,2390,.736,,,4098,2060,,,,1936,8674
17,Buffalo Braves,82,19805,3409,7560,.451,,,,3409,7560,.451,1549,2219,.698,,,3978,1759,,,,2110,8367
,League Average,82,19774,3561,7832,.455,,,,3561,7832,.455,1913,2556,.748,,,4194,1972,,,,1939,9036
