Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Philadelphia 76ers*,82,19830,3628,7471,.486,,,,3628,7471,.486,2153,2863,.752,1299,2694,3993,2220,800,548,1752,2188,9409
2,San Antonio Spurs*,82,19780,3794,7594,.500,,,,3794,7594,.500,1797,2234,.804,1030,2594,3624,2240,797,553,1665,1871,9385
3,New York Knicks*,82,20005,3815,7822,.488,,,,3815,7822,.488,1670,2225,.751,1180,2689,3869,2338,818,442,1764,2193,9300
4,Milwaukee Bucks*,82,19980,3801,7883,.482,,,,3801,7883,.482,1612,2220,.726,1239,2480,3719,2306,867,472,1680,2038,9214
5,Phoenix Suns*,82,19780,3731,7836,.476,,,,3731,7836,.476,1749,2329,.751,1166,2579,3745,2338,1059,372,1766,1956,9211
6,Denver Nuggets*,82,19830,3548,7441,.477,,,,3548,7441,.477,2068,2705,.765,1177,2736,3913,2187,824,422,1748,2116,9164
7,Washington Bullets*,82,19830,3580,7772,.461,,,,3580,7772,.461,1887,2655,.711,1349,2815,4164,1948,668,386,1613,1879,9047
8,Los Angeles Lakers*,82,19805,3734,7672,.487,,,,3734,7672,.487,1576,2095,.752,1136,2647,3783,2229,802,409,1548,1964,9044
9,Kansas City Kings,82,19830,3601,7731,.466,,,,3601,7731,.466,1775,2262,.785,1208,2632,3840,1992,794,370,1690,2228,8977
10,Detroit Pistons,82,19855,3552,7424,.478,,,,3552,7424,.478,1832,2490,.736,1229,2601,3830,1840,866,330,1858,1980,8936
11,Indiana Pacers,82,19830,3500,7783,.450,,,,3500,7783,.450,1904,2564,.743,1386,2624,4010,1982,808,456,1642,2230,8904
12,Portland Trail Blazers*,82,19730,3556,7367,.483,,,,3556,7367,.483,1717,2259,.760,1187,2686,3873,2067,798,390,1625,2068,8829
13,New Orleans Jazz,82,19780,3568,7717,.462,,,,3568,7717,.462,1690,2331,.725,1309,2907,4216,2079,662,514,1694,1938,8826
14,New Jersey Nets,82,19905,3547,8004,.443,,,,3547,8004,.443,1652,2304,.717,1306,2595,3901,1879,857,631,1774,2312,8746
15,Golden State Warriors,82,19780,3574,7654,.467,,,,3574,7654,.467,1550,2081,.745,1183,2629,3812,2097,873,405,1518,2113,8698
16,Boston Celtics,82,19830,3494,7635,.458,,,,3494,7635,.458,1682,2159,.779,1235,2850,4085,1969,643,295,1652,2033,8670
17,Buffalo Braves,82,19805,3413,7323,.466,,,,3413,7323,.466,1808,2314,.781,1083,2538,3621,1975,650,327,1575,2017,8634
18,Seattle SuperSonics*,82,19780,3445,7715,.447,,,,3445,7715,.447,1675,2352,.712,1456,2601,4057,1799,782,429,1636,2008,8565
19,Cleveland Cavaliers*,82,19880,3496,7707,.454,,,,3496,7707,.454,1569,2116,.741,1187,2676,3863,1740,692,455,1382,1832,8561
20,Chicago Bulls,82,19755,3330,7041,.473,,,,3330,7041,.473,1863,2471,.754,1248,2577,3825,2119,665,322,1667,1930,8523
21,Houston Rockets,82,19730,3523,7691,.458,,,,3523,7691,.458,1467,1896,.774,1301,2421,3722,1942,683,319,1376,2025,8513
22,Atlanta Hawks*,82,19830,3335,7253,.460,,,,3335,7253,.460,1836,2316,.793,1160,2359,3519,1901,916,408,1592,2470,8506
,League Average,82,19825,3571,7615,.469,,,,3571,7615,.469,1751,2329,.752,1230,2633,3863,2054,787,421,1646,2063,8894
