Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Los Angeles Lakers*,80,19250,3597,8109,.444,,,,3597,8109,.444,2363,3057,.773,,,5334,1936,,,,2035,9557
2,Baltimore Bullets*,80,19250,3599,8210,.438,,,,3599,8210,.438,2267,3186,.712,,,5542,1890,,,,2199,9465
3,Cincinnati Royals*,80,19275,3610,8123,.444,,,,3610,8123,.444,2204,2906,.758,,,5559,1818,,,,2033,9424
4,Philadelphia 76ers*,80,19250,3650,8189,.446,,,,3650,8189,.446,2087,3141,.664,,,5652,1905,,,,2094,9387
5,New York Knicks,80,19275,3559,7910,.450,,,,3559,7910,.450,2217,3078,.720,,,5119,1896,,,,2227,9335
6,San Francisco Warriors,80,19225,3557,8512,.418,,,,3557,8512,.418,2129,2879,.739,,,5727,1872,,,,2069,9243
7,Boston Celtics*,80,19225,3488,8367,.417,,,,3488,8367,.417,2038,2758,.739,,,5591,1795,,,,2012,9014
8,St. Louis Hawks*,80,19200,3379,7836,.431,,,,3379,7836,.431,2155,2870,.751,,,5167,1782,,,,2179,8913
9,Detroit Pistons,80,19200,3475,8502,.409,,,,3475,8502,.409,1877,2734,.687,,,5427,1569,,,,2016,8827
,League Average,80,19239,3546,8195,.433,,,,3546,8195,.433,2149,2957,.727,,,5458,1829,,,,2096,9241
