Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Milwaukee Bucks*,82,19780,3972,7803,.509,,,,3972,7803,.509,1766,2379,.742,,,4344,2249,,,,1847,9710
2,Boston Celtics,82,19780,3804,8616,.442,,,,3804,8616,.442,2000,2648,.755,,,4833,2052,,,,2138,9608
3,Cincinnati Royals,82,19830,3805,8374,.454,,,,3805,8374,.454,1901,2622,.725,,,4151,2022,,,,2126,9511
4,Portland Trail Blazers,82,19755,3721,8562,.435,,,,3721,8562,.435,2025,2671,.758,,,4210,2227,,,,2024,9467
5,Seattle SuperSonics,82,19730,3664,8034,.456,,,,3664,8034,.456,2101,2790,.753,,,4456,2049,,,,1917,9429
6,Philadelphia 76ers*,82,19755,3608,8026,.450,,,,3608,8026,.450,2199,2967,.741,,,4437,1976,,,,2168,9415
7,Los Angeles Lakers*,82,19755,3739,7857,.476,,,,3739,7857,.476,1933,2717,.711,,,4269,2205,,,,1709,9411
8,Atlanta Hawks*,82,19755,3614,7779,.465,,,,3614,7779,.465,2120,2975,.713,,,4472,1906,,,,1958,9348
9,Phoenix Suns,82,19780,3503,8021,.437,,,,3503,8021,.437,2327,3078,.756,,,4442,1927,,,,2132,9333
10,San Diego Rockets,82,19730,3547,8426,.421,,,,3547,8426,.421,2188,2921,.749,,,4686,1921,,,,2128,9282
11,Baltimore Bullets*,82,19805,3684,8331,.442,,,,3684,8331,.442,1886,2500,.754,,,4550,1772,,,,1966,9254
12,Chicago Bulls*,82,19755,3460,7660,.452,,,,3460,7660,.452,2150,2721,.790,,,4325,2142,,,,1797,9070
13,Detroit Pistons,82,19855,3468,7730,.449,,,,3468,7730,.449,2093,2808,.745,,,3923,1696,,,,1969,9029
14,New York Knicks*,82,19755,3633,8076,.450,,,,3633,8076,.450,1760,2377,.740,,,4075,1779,,,,1916,9026
15,San Francisco Warriors*,82,19705,3454,7709,.448,,,,3454,7709,.448,1875,2468,.760,,,4643,1893,,,,1833,8783
16,Buffalo Braves,82,19805,3424,7860,.436,,,,3424,7860,.436,1805,2504,.721,,,4261,1962,,,,2232,8653
17,Cleveland Cavaliers,82,19680,3299,7778,.424,,,,3299,7778,.424,1775,2380,.746,,,3982,2065,,,,2114,8373
,League Average,82,19765,3612,8038,.449,,,,3612,8038,.449,1994,2678,.745,,,4356,1991,,,,1998,9218
