Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Syracuse Nationals*,79,,3654,8746,.418,,,,3654,8746,.418,2278,2948,.773,,,5726,1786,,,,2280,9586
2,Philadelphia Warriors*,79,,3768,8883,.424,,,,3768,8883,.424,2022,3108,.651,,,5938,1959,,,,1936,9558
3,Boston Celtics*,79,,3699,9295,.398,,,,3699,9295,.398,2062,2804,.735,,,6131,1872,,,,2032,9460
4,St. Louis Hawks*,79,,3618,8795,.411,,,,3618,8795,.411,2147,2921,.735,,,5994,2136,,,,2135,9383
5,Detroit Pistons*,79,,3481,8357,.417,,,,3481,8357,.417,2408,3240,.743,,,5813,1866,,,,2157,9370
6,Cincinnati Royals,79,,3626,8281,.438,,,,3626,8281,.438,2060,2761,.746,,,5581,2107,,,,2159,9312
7,Los Angeles Lakers*,79,,3401,8430,.403,,,,3401,8430,.403,2204,2999,.735,,,5816,1728,,,,2043,9006
8,New York Knicks,79,,3422,8347,.410,,,,3422,8347,.410,2135,2838,.752,,,5315,1822,,,,2223,8979
,League Average,79,,3584,8642,.415,,,,3584,8642,.415,2165,2952,.733,,,5789,1910,,,,2121,9332
