Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors*,82,19780,3714,7981,.465,,,,3714,7981,.465,1470,1915,.768,1416,2854,4270,2076,972,365,1716,2109,8898
2,Buffalo Braves*,82,19730,3552,7469,.476,,,,3552,7469,.476,1735,2224,.780,1108,2735,3843,2063,718,456,1710,1879,8839
3,Boston Celtics*,82,19755,3587,7825,.458,,,,3587,7825,.458,1560,1971,.791,1315,2949,4264,2159,662,288,1625,1913,8734
4,Atlanta Hawks,82,19805,3424,7824,.438,,,,3424,7824,.438,1772,2435,.728,1441,2653,4094,1878,744,227,1550,1964,8620
5,Washington Bullets*,82,19805,3555,7697,.462,,,,3555,7697,.462,1475,1962,.752,1133,2764,3897,2005,929,409,1594,1961,8585
6,Houston Rockets*,82,19780,3448,7231,.477,,,,3448,7231,.477,1625,2034,.799,1177,2495,3672,2155,746,351,1759,2068,8521
7,Portland Trail Blazers,82,19880,3414,7113,.480,,,,3414,7113,.480,1680,2265,.742,1049,2758,3807,2209,755,399,1833,2055,8508
8,Los Angeles Lakers,82,19855,3409,7577,.450,,,,3409,7577,.450,1641,2182,.752,1312,2763,4075,2091,755,423,1785,2079,8459
9,Seattle SuperSonics*,82,19880,3488,7653,.456,,,,3488,7653,.456,1475,1970,.749,1142,2579,3721,1997,837,378,1610,1977,8451
10,New Orleans Jazz,82,19730,3301,7509,.440,,,,3301,7509,.440,1717,2247,.764,1144,2616,3760,1818,725,256,1802,2222,8319
11,Kansas City-Omaha Kings*,82,19730,3257,7258,.449,,,,3257,7258,.449,1797,2190,.821,991,2745,3736,1853,724,347,1542,1968,8311
12,Phoenix Suns,82,19805,3381,7561,.447,,,,3381,7561,.447,1535,2082,.737,1349,2684,4033,1879,664,317,1760,2090,8297
13,Milwaukee Bucks,82,19805,3450,7367,.468,,,,3450,7367,.468,1354,1746,.775,1021,2766,3787,1932,596,400,1540,1949,8254
14,New York Knicks*,82,19730,3359,7464,.450,,,,3359,7464,.450,1518,1967,.772,981,2652,3633,1675,652,300,1374,2001,8236
15,Philadelphia 76ers,82,19805,3325,7476,.445,,,,3325,7476,.445,1530,2043,.749,1200,2706,3906,1709,576,263,1591,1974,8180
16,Cleveland Cavaliers,82,19880,3408,7371,.462,,,,3408,7371,.462,1301,1753,.742,1058,2502,3560,1903,600,348,1462,1881,8117
17,Detroit Pistons*,82,19705,3289,7053,.466,,,,3289,7053,.466,1533,1975,.776,1002,2515,3517,1916,679,380,1557,1866,8111
18,Chicago Bulls*,82,19880,3167,7085,.447,,,,3167,7085,.447,1711,2203,.777,1107,2786,3893,1840,668,379,1482,1952,8045
,League Average,82,19797,3418,7473,.457,,,,3418,7473,.457,1579,2065,.765,1164,2696,3859,1953,722,349,1627,1995,8416
