Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Houston Rockets,82,19680,3772,8249,.457,,,,3772,8249,.457,1706,2152,.793,,,4060,1939,,,,1949,9250
2,Boston Celtics*,82,19730,3811,8511,.448,,,,3811,8511,.448,1616,2073,.780,,,4802,2320,,,,1805,9238
3,Atlanta Hawks*,82,19830,3700,8033,.461,,,,3700,8033,.461,1819,2482,.733,,,4174,2074,,,,1916,9219
4,Los Angeles Lakers*,82,19755,3740,7819,.478,,,,3740,7819,.478,1679,2264,.742,,,4562,2302,,,,1636,9159
5,Phoenix Suns,82,19755,3612,7942,.455,,,,3612,7942,.455,1931,2437,.792,,,4003,1944,,,,2012,9155
6,Detroit Pistons,82,19780,3666,7916,.463,,,,3666,7916,.463,1710,2294,.745,,,4105,1882,,,,1812,9042
7,Golden State Warriors*,82,19730,3715,8163,.455,,,,3715,8163,.455,1493,1871,.798,,,4405,1985,,,,1693,8923
8,Kansas City-Omaha Kings,82,19780,3621,7581,.478,,,,3621,7581,.478,1580,2036,.776,,,3628,2118,,,,2054,8822
9,Milwaukee Bucks*,82,19755,3759,7808,.481,,,,3759,7808,.481,1271,1687,.753,,,4245,2226,,,,1763,8789
10,Portland Trail Blazers,82,19730,3588,7842,.458,,,,3588,7842,.458,1531,2129,.719,,,3928,2102,,,,1970,8707
11,New York Knicks*,82,19730,3627,7764,.467,,,,3627,7764,.467,1356,1739,.780,,,3882,2187,,,,1775,8610
12,Baltimore Bullets*,82,19730,3656,7883,.464,,,,3656,7883,.464,1294,1742,.743,,,4205,2051,,,,1672,8606
13,Philadelphia 76ers,82,19730,3471,8264,.420,,,,3471,8264,.420,1598,2130,.750,,,4174,1688,,,,1984,8540
14,Chicago Bulls*,82,19805,3480,7835,.444,,,,3480,7835,.444,1574,2073,.759,,,4000,2023,,,,1881,8534
15,Seattle SuperSonics,82,19780,3447,7681,.449,,,,3447,7681,.449,1606,2080,.772,,,4161,1958,,,,1877,8500
16,Buffalo Braves,82,19730,3536,7877,.449,,,,3536,7877,.449,1399,1966,.712,,,4158,2218,,,,2034,8471
17,Cleveland Cavaliers,82,19830,3431,7884,.435,,,,3431,7884,.435,1556,2084,.747,,,4063,2106,,,,1941,8418
,League Average,82,19756,3625,7944,.456,,,,3625,7944,.456,1572,2073,.758,,,4150,2066,,,,1869,8823
