Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors*,82,19830,3691,7982,.462,,,,3691,7982,.462,1620,2158,.751,1349,2912,4261,2041,928,416,1613,2022,9002
2,Buffalo Braves*,82,19705,3481,7307,.476,,,,3481,7307,.476,1833,2368,.774,1002,2719,3721,2112,720,366,1743,2017,8795
3,Los Angeles Lakers,82,19705,3547,7622,.465,,,,3547,7622,.465,1670,2164,.772,1132,2870,4002,1939,674,528,1612,2025,8764
4,Philadelphia 76ers*,82,19855,3462,7752,.447,,,,3462,7752,.447,1811,2469,.733,1385,2684,4069,1658,809,367,1729,2187,8735
5,Seattle SuperSonics*,82,19780,3542,7730,.458,,,,3542,7730,.458,1642,2309,.711,1217,2498,3715,1935,866,355,1615,2133,8726
6,Boston Celtics*,82,19755,3527,7901,.446,,,,3527,7901,.446,1654,2120,.780,1369,2972,4341,1980,561,260,1609,2002,8708
7,Houston Rockets,82,19755,3546,7304,.485,,,,3546,7304,.485,1616,2046,.790,1059,2644,3703,2213,656,359,1665,2045,8708
8,Phoenix Suns*,82,19880,3420,7251,.472,,,,3420,7251,.472,1780,2337,.762,1108,2558,3666,2083,853,349,1852,2018,8620
9,Detroit Pistons*,82,19780,3524,7598,.464,,,,3524,7598,.464,1557,2049,.760,1205,2545,3750,1751,786,332,1619,2086,8605
10,New Orleans Jazz,82,19880,3352,7491,.447,,,,3352,7491,.447,1831,2415,.758,1189,2779,3968,1765,750,343,1659,2175,8535
11,Portland Trail Blazers,82,19730,3417,7292,.469,,,,3417,7292,.469,1699,2350,.723,1116,2843,3959,2094,776,408,1867,2091,8533
12,Kansas City Kings,82,19755,3341,7379,.453,,,,3341,7379,.453,1792,2335,.767,1133,2668,3801,1864,751,324,1607,2056,8474
13,Washington Bullets*,82,19905,3416,7234,.472,,,,3416,7234,.472,1595,2215,.720,1019,2812,3831,1823,696,485,1672,1921,8427
14,New York Knicks,82,19805,3443,7555,.456,,,,3443,7555,.456,1532,1985,.772,1022,2723,3745,1660,575,259,1403,2006,8418
15,Atlanta Hawks,82,19805,3301,7338,.450,,,,3301,7338,.450,1809,2467,.733,1225,2540,3765,1666,790,277,1553,1983,8411
16,Milwaukee Bucks*,82,19830,3456,7435,.465,,,,3456,7435,.465,1437,1952,.736,1094,2688,3782,1817,715,468,1624,2041,8349
17,Cleveland Cavaliers*,82,19805,3497,7709,.454,,,,3497,7709,.454,1346,1827,.737,1192,2588,3780,1844,638,397,1330,1871,8340
18,Chicago Bulls,82,19780,3106,7499,.414,,,,3106,7499,.414,1651,2197,.751,1375,2726,4101,1704,627,255,1413,1977,7863
,League Average,82,19797,3448,7521,.458,,,,3448,7521,.458,1660,2209,.751,1177,2709,3887,1886,732,364,1621,2036,8556
