Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cincinnati Royals*,80,,3516,7761,.453,,,,3516,7761,.453,2146,2828,.759,,,5400,1916,,,,2139,9178
2,Boston Celtics*,80,,3619,8770,.413,,,,3619,8770,.413,1804,2489,.725,,,5736,1760,,,,2125,9042
3,New York Knicks,80,,3512,7888,.445,,,,3512,7888,.445,1952,2852,.684,,,5067,1563,,,,2222,8976
4,Philadelphia 76ers*,80,,3394,8116,.418,,,,3394,8116,.418,2184,2851,.766,,,5132,1643,,,,2251,8972
5,Baltimore Bullets,80,,3456,7862,.440,,,,3456,7862,.440,2036,2958,.688,,,5460,1423,,,,2073,8948
6,St. Louis Hawks*,80,,3341,7776,.430,,,,3341,7776,.430,2115,2795,.757,,,4959,1901,,,,2266,8797
7,Los Angeles Lakers*,80,,3272,7438,.440,,,,3272,7438,.440,2230,2910,.766,,,5025,1676,,,,1997,8774
8,Detroit Pistons,80,,3346,7943,.421,,,,3346,7943,.421,1928,2685,.718,,,5145,1633,,,,2235,8620
9,San Francisco Warriors*,80,,3407,7779,.438,,,,3407,7779,.438,1800,2821,.638,,,5499,1899,,,,1978,8614
,League Average,80,,3429,7926,.433,,,,3429,7926,.433,2022,2799,.722,,,5269,1713,,,,2143,8880
