Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Philadelphia 76ers*,82,19755,3915,8345,.469,,,,3915,8345,.469,2168,2884,.752,,,4463,2127,,,,2196,9998
2,Baltimore Bullets*,82,19905,3925,8567,.458,,,,3925,8567,.458,2050,2652,.773,,,4679,1881,,,,1896,9900
3,Phoenix Suns*,82,19805,3676,7856,.468,,,,3676,7856,.468,2434,3270,.744,,,4183,2076,,,,2183,9786
4,Milwaukee Bucks*,82,19780,3923,8041,.488,,,,3923,8041,.488,1895,2589,.732,,,4419,2168,,,,1971,9741
5,San Diego Rockets,82,19780,3866,8867,.436,,,,3866,8867,.436,2000,2728,.733,,,4786,2036,,,,2096,9732
6,Atlanta Hawks*,82,19780,3817,7907,.483,,,,3817,7907,.483,2012,2669,.754,,,4210,2142,,,,2016,9646
7,Cincinnati Royals,82,19880,3767,8271,.455,,,,3767,8271,.455,2082,2841,.733,,,4163,1992,,,,2215,9616
8,Seattle SuperSonics,82,19780,3709,8029,.462,,,,3709,8029,.462,2171,2851,.761,,,4312,2214,,,,2175,9589
9,New York Knicks*,82,19730,3803,7975,.477,,,,3803,7975,.477,1821,2484,.733,,,4006,2135,,,,2016,9427
10,Chicago Bulls*,82,19880,3607,8133,.444,,,,3607,8133,.444,2209,2861,.772,,,4383,2133,,,,1863,9423
11,Boston Celtics,82,19780,3645,8235,.443,,,,3645,8235,.443,2132,2711,.786,,,4336,1875,,,,2320,9422
12,Los Angeles Lakers*,82,19830,3668,7952,.461,,,,3668,7952,.461,1991,2641,.754,,,4154,2030,,,,1896,9327
13,Detroit Pistons,82,19855,3565,7657,.466,,,,3565,7657,.466,2116,2881,.734,,,3831,1709,,,,1930,9246
14,San Francisco Warriors,82,19830,3555,8224,.432,,,,3555,8224,.432,2004,2646,.757,,,4772,1861,,,,2050,9114
,League Average,82,19812,3746,8147,.460,,,,3746,8147,.460,2078,2765,.751,,,4336,2027,,,,2059,9569
