Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,San Antonio Spurs*,82,19830,3927,7760,.506,,,,3927,7760,.506,1926,2423,.795,1096,2619,3715,2313,829,509,1652,2071,9780
2,Phoenix Suns*,82,19780,3847,7516,.512,,,,3847,7516,.512,1765,2299,.768,1083,2379,3462,2500,915,337,1760,1944,9459
3,Washington Bullets*,82,19780,3819,7873,.485,,,,3819,7873,.485,1785,2428,.735,1309,2768,4077,2169,614,401,1420,1804,9423
4,Milwaukee Bucks,82,19880,3906,7773,.503,,,,3906,7773,.503,1541,2021,.762,1157,2370,3527,2562,862,435,1574,2106,9353
5,Houston Rockets*,82,19780,3726,7498,.497,,,,3726,7498,.497,1845,2330,.792,1256,2504,3760,2302,632,286,1510,2001,9297
6,San Diego Clippers,82,19730,3721,7706,.483,,,,3721,7706,.483,1836,2471,.743,1392,2413,3805,1539,703,392,1623,2127,9278
7,Kansas City Kings*,82,19855,3764,7644,.492,,,,3764,7644,.492,1746,2392,.730,1191,2404,3595,2239,825,390,1631,2419,9274
8,Los Angeles Lakers*,82,19780,3827,7397,.517,,,,3827,7397,.517,1606,2088,.769,949,2557,3506,2338,793,500,1569,1851,9260
9,Denver Nuggets*,82,19705,3517,7311,.481,,,,3517,7311,.481,2046,2841,.720,1307,2596,3903,2166,673,416,1666,2106,9080
10,Detroit Pistons,82,19780,3708,7802,.475,,,,3708,7802,.475,1607,2242,.717,1303,2380,3683,2092,847,550,1599,2141,9023
11,Philadelphia 76ers*,82,19805,3584,7338,.488,,,,3584,7338,.488,1815,2411,.753,1149,2712,3861,2253,779,599,1771,2072,8983
12,Atlanta Hawks*,82,19855,3505,7410,.473,,,,3505,7410,.473,1940,2534,.766,1381,2341,3722,1938,801,596,1523,2424,8950
13,Indiana Pacers,82,19705,3575,7525,.475,,,,3575,7525,.475,1759,2317,.759,1225,2530,3755,2005,687,416,1536,2093,8909
14,Portland Trail Blazers*,82,19780,3541,7338,.483,,,,3541,7338,.483,1806,2362,.765,1256,2435,3691,1946,776,512,1658,2187,8888
15,New Orleans Jazz,82,19705,3517,7511,.468,,,,3517,7511,.468,1848,2409,.767,1234,2676,3910,2079,760,559,1764,1940,8882
16,Boston Celtics,82,19680,3527,7347,.480,,,,3527,7347,.480,1820,2321,.784,1119,2396,3515,1995,710,283,1713,1977,8874
17,New Jersey Nets*,82,19755,3464,7523,.460,,,,3464,7523,.460,1904,2613,.729,1241,2370,3611,1907,853,619,1861,2329,8832
18,New York Knicks,82,19780,3676,7554,.487,,,,3676,7554,.487,1478,2111,.700,1200,2430,3630,2121,699,397,1605,2154,8830
19,Seattle SuperSonics*,82,19755,3504,7484,.468,,,,3504,7484,.468,1732,2298,.754,1310,2591,3901,1973,690,398,1586,1914,8740
20,Cleveland Cavaliers,82,19680,3556,7602,.468,,,,3556,7602,.468,1620,2103,.770,1229,2256,3485,1796,688,334,1376,2027,8732
21,Golden State Warriors,82,19780,3627,7453,.487,,,,3627,7453,.487,1367,1872,.730,1169,2513,3682,2064,774,420,1500,2023,8621
22,Chicago Bulls,82,19780,3478,7108,.489,,,,3478,7108,.489,1632,2184,.747,1224,2544,3768,2169,576,324,1813,1970,8588
,League Average,82,19771,3651,7522,.485,,,,3651,7522,.485,1747,2321,.752,1217,2490,3707,2112,749,440,1623,2076,9048
